statefp,state,maptype,districts,county_splits,efficiency_gap,efficiency_gap_extra_seats,district_perimeters,state_perimeter,interior_perimeter_measure,compactness_rank
15,HI,MajMin,2,1,-0.10854784683302482,D+0,15.53626767163719,13.9226017829982,0.8068329443194955,4
15,HI,Proportional,2,1,-0.10866051243179507,D+0,14.7872036734823,13.9226017829982,0.43230094524204965,1
15,HI,algorithmic-compact,2,1,-0.10865934210199614,D+0,15.55133122282232,13.9226017829982,0.81436471991206,8
15,HI,current,2,1,-0.10854784683302482,D+0,15.53626767163719,13.9226017829982,0.8068329443194955,4
19,IA,Compact,4,0,0.10066638912168933,R+0,47.06878523777541,20.2465046324856,13.411140302644904,1
19,IA,Competitive,4,0,0.10066638912168933,R+0,47.06878523777541,20.2465046324856,13.411140302644904,1
19,IA,Dem,4,14,-0.02834239441182247,D+0,48.539275788430686,20.2465046324856,14.146385577972543,5
19,IA,GOP,4,7,-0.02750264560356941,D+0,49.27715026169275,20.2465046324856,14.515322814603577,7
19,IA,MajMin,4,19,0.10921294488571358,R+0,56.8389205160736,20.2465046324856,18.296207941794002,8
19,IA,Proportional,4,0,0.10066638912168933,R+0,47.06878523777541,20.2465046324856,13.411140302644904,1
19,IA,algorithmic-compact,4,28,-0.16118163240486938,D+1,48.583223405888575,20.2465046324856,14.168359386701487,6
19,IA,current,4,0,0.10066638912168933,R+0,47.06878523777541,20.2465046324856,13.411140302644904,1
16,ID,Compact,2,1,0.15269765491965787,R+0,46.0533479249761,30.5067212994207,7.7733133127777005,1
16,ID,Competitive,2,3,0.1526969775869103,R+0,62.0576305555948,30.5067212994207,15.775454628087049,6
16,ID,Dem,2,3,0.1526969775869103,R+0,62.0576305555948,30.5067212994207,15.775454628087049,6
16,ID,GOP,2,1,0.15269277054329533,R+0,49.255361717248704,30.5067212994207,9.374320208914002,2
16,ID,MajMin,2,3,0.1526983782148264,R+0,54.3115487486848,30.5067212994207,11.90241372463205,4
16,ID,Proportional,2,3,0.1526969775869103,R+0,62.0576305555948,30.5067212994207,15.775454628087049,6
16,ID,algorithmic-compact,2,12,0.1526936132845116,R+0,60.3972243968611,30.5067212994207,14.945251548720199,5
16,ID,current,2,1,0.15269277054329533,R+0,49.255361717248704,30.5067212994207,9.374320208914002,2
17,IL,Compact,18,16,0.0200166465717617,R+0,69.1863104784506,21.5683846872815,23.808962895584546,1
17,IL,Competitive,18,24,0.020011190105054377,R+0,78.51854872789613,21.5683846872815,28.475082020307315,3
17,IL,Dem,18,42,-0.08462308727228843,D+2,99.2465562075816,21.5683846872815,38.839085760150056,7
17,IL,GOP,18,26,0.1806131227149364,R+3,80.72469693265137,21.5683846872815,29.578156122684934,5
17,IL,MajMin,18,29,0.05391933289527458,R+1,75.6557935501722,21.5683846872815,27.043704431445352,2
17,IL,Proportional,18,24,0.020011190105054377,R+0,78.51854872789613,21.5683846872815,28.475082020307315,3
17,IL,algorithmic-compact,18,69,0.10892910502080624,R+2,81.1766514913667,21.5683846872815,29.8041334020426,6
17,IL,current,18,39,0.05851221680099146,R+1,102.0938712193813,21.5683846872815,40.262743266049895,8
18,IN,Compact,9,8,0.12669882517143521,R+1,49.307712496791815,17.2041484543905,16.05178202120066,1
18,IN,Competitive,9,13,0.23612009008347845,R+2,53.84673964158374,17.2041484543905,18.32129559359662,5
18,IN,Dem,9,13,0.021039661407346054,R+0,59.83574452422366,17.2041484543905,21.31579803491658,7
18,IN,GOP,9,17,0.346720035318395,R+3,60.416594552178594,17.2041484543905,21.606223048894048,8
18,IN,MajMin,9,17,0.18729750554445046,R+2,58.54890974026834,17.2041484543905,20.672380642938922,6
18,IN,Proportional,9,8,-0.04418798744203611,D+0,51.74999937152923,17.2041484543905,17.272925458569365,3
18,IN,algorithmic-compact,9,48,0.10676805585870082,R+1,53.00824183960977,17.2041484543905,17.902046692609634,4
18,IN,current,9,9,0.1359688096971025,R+1,50.35554633742347,17.2041484543905,16.575698941516485,2
20,KS,Compact,4,5,0.13261313888307352,R+1,38.04328917595408,21.4055389572632,8.31887510934544,1
20,KS,Competitive,4,6,0.13261372642513217,R+1,46.64235599776561,21.4055389572632,12.618408520251206,6
20,KS,Dem,4,5,0.020087609510783113,R+0,43.77821076626194,21.4055389572632,11.186335904499371,3
20,KS,GOP,4,5,0.2784845269556748,R+1,47.59609619688116,21.4055389572632,13.095278619808981,7
20,KS,MajMin,4,12,0.06516005313148587,R+0,52.38244333552724,21.4055389572632,15.48845218913202,8
20,KS,Proportional,4,3,0.004087002557025525,R+0,40.266779037428016,21.4055389572632,9.430620040082408,2
20,KS,algorithmic-compact,4,22,0.13398117239739263,R+1,43.99880033700413,21.4055389572632,11.296630689870463,4
20,KS,current,4,3,0.1331987722643413,R+1,46.12729814274819,21.4055389572632,12.360879592742494,5
21,KY,Compact,6,4,0.04832782655294018,R+0,53.954651116942884,22.4186241584289,15.768013479256991,3
21,KY,Competitive,6,7,0.06188880983010034,R+0,53.84118872723736,22.4186241584289,15.711282284404229,2
21,KY,Dem,6,21,0.04831445539852397,R+0,71.79029978819646,22.4186241584289,24.685837814883783,8
21,KY,GOP,6,6,0.22787083124749727,R+1,56.34706999550575,22.4186241584289,16.964222918538425,4
21,KY,MajMin,6,9,0.06292419470837371,R+0,58.708389456191824,22.4186241584289,18.144882648881463,5
21,KY,Proportional,6,19,-0.11721476768315706,D+1,60.56570097571726,22.4186241584289,19.073538408644183,6
21,KY,algorithmic-compact,6,35,0.046150699408349226,R+0,53.05751013259289,22.4186241584289,15.319442987081993,1
21,KY,current,6,6,0.04820480287442162,R+0,67.11133855332555,22.4186241584289,22.346357197448327,7
22,LA,Compact,6,6,0.14659297856618225,R+1,70.88214556064206,38.804575176512,16.038785192065028,1
22,LA,Competitive,6,14,-0.016251554312567886,D+0,75.48637933699874,38.804575176512,18.340902080243367,2
22,LA,Dem,6,14,-0.01864322836344086,D+0,81.88685204520064,38.804575176512,21.54113843434432,3
22,LA,GOP,6,16,0.14340819384059056,R+1,93.6745544328254,38.804575176512,27.4349896281567,7
22,LA,MajMin,6,14,-0.01864322836344086,D+0,81.88685204520064,38.804575176512,21.54113843434432,3
22,LA,Proportional,6,14,-0.01864322836344086,D+0,81.88685204520064,38.804575176512,21.54113843434432,3
22,LA,algorithmic-compact,6,36,0.1363315787914886,R+1,87.8523443299812,38.804575176512,24.523884576734595,6
22,LA,current,6,16,0.14340819384059056,R+1,93.6745544328254,38.804575176512,27.4349896281567,7
25,MA,Compact,9,8,-0.23559269638140878,D+2,55.39953107677505,17.6297312470912,18.884899914841924,4
25,MA,Competitive,9,18,-0.23559289322863414,D+2,56.34463814296309,17.6297312470912,19.357453447935946,6
25,MA,Dem,9,13,-0.23559290217365136,D+2,55.03651048674156,17.6297312470912,18.70338961982518,3
25,MA,GOP,9,18,-0.23559289322863414,D+2,56.34463814296309,17.6297312470912,19.357453447935946,6
25,MA,MajMin,9,21,-0.23555731139140174,D+2,38.638128626230205,17.6297312470912,10.504198689569503,1
25,MA,Proportional,9,19,-0.11025967296650369,D+1,69.16579438821071,17.6297312470912,25.768031570559756,8
25,MA,algorithmic-compact,9,23,-0.2355998087934848,D+2,56.1223396535468,17.6297312470912,19.2463042032278,5
25,MA,current,9,21,-0.23555731139140174,D+2,38.638128626230205,17.6297312470912,10.504198689569503,1
24,MD,Compact,8,7,0.09550793557814069,R+1,64.74684549912276,54.5523184481963,5.097263525463227,1
24,MD,Competitive,8,11,-0.10412923978547706,D+1,67.71285462780695,54.5523184481963,6.5802680898053225,3
24,MD,Dem,8,21,-0.22663067468948578,D+2,73.90588891066365,54.5523184481963,9.676785231233673,7
24,MD,GOP,8,18,0.29745526831544367,R+2,69.45051931063406,54.5523184481963,7.449100431218881,5
24,MD,MajMin,8,16,0.30091135779808176,R+2,69.65685704442659,54.5523184481963,7.552269298115142,6
24,MD,Proportional,8,7,0.09550793557814069,R+1,64.74684549912276,54.5523184481963,5.097263525463227,1
24,MD,algorithmic-compact,8,22,0.028758312336745577,R+0,68.15949346616613,54.5523184481963,6.803587508984911,4
24,MD,current,8,16,-0.0948082672752836,D+1,85.0329236240251,54.5523184481963,15.2403025879144,8
23,ME,Compact,2,1,-0.16554785563401087,D+0,42.74146957459506,37.603475894288,2.5689968401535275,1
23,ME,Competitive,2,6,-0.4054364800413727,D+1,50.42560930649779,37.603475894288,6.411066706104894,6
23,ME,Dem,2,4,-0.16084517522877698,D+0,45.78158886450899,37.603475894288,4.089056485110493,3
23,ME,GOP,2,12,-0.15525186297252885,D+0,68.7719489510608,37.603475894288,15.584236528386402,7
23,ME,MajMin,2,12,-0.15525186297252885,D+0,68.7719489510608,37.603475894288,15.584236528386402,7
23,ME,Proportional,2,1,-0.1702513973261839,D+0,47.206618078686,37.603475894288,4.801571092198998,4
23,ME,algorithmic-compact,2,4,-0.16578655939327056,D+0,44.3201623647393,37.603475894288,3.35834323522565,2
23,ME,current,2,1,-0.1702513973261839,D+0,47.206618078686,37.603475894288,4.801571092198998,4
26,MI,Compact,14,13,0.12354290645492458,R+2,101.75802925218245,59.8009749171984,20.978527167492025,1
26,MI,Competitive,14,20,-0.06137038197337652,D+1,110.53669249839218,59.8009749171984,25.36785879059689,3
26,MI,Dem,14,41,-0.08394788415475345,D+1,125.6138290498854,59.8009749171984,32.9064270663435,8
26,MI,GOP,14,23,0.28615662985891904,R+4,112.4352431856944,59.8009749171984,26.317134134248,5
26,MI,MajMin,14,14,0.20473269226889995,R+3,114.1229107601474,59.8009749171984,27.1609679214745,6
26,MI,Proportional,14,19,0.05270369146287414,R+1,108.09834982907705,59.8009749171984,24.148687455939324,2
26,MI,algorithmic-compact,14,54,-0.05764950247371422,D+1,110.67627256434841,59.8009749171984,25.437648823575003,4
26,MI,current,14,14,0.20473269226889995,R+3,114.1229107601474,59.8009749171984,27.1609679214745,6
27,MN,Compact,8,8,0.03984717742595885,R+0,71.21942089796822,35.6250595285275,17.79718068472036,2
27,MN,Competitive,8,14,-0.024374875373631123,D+0,71.2068506689772,35.6250595285275,17.790895570224848,1
27,MN,Dem,8,20,-0.21700181052873246,D+2,71.32256076765515,35.6250595285275,17.848750619563823,3
27,MN,GOP,8,17,0.17833256962258565,R+1,72.63664273439836,35.6250595285275,18.50579160293543,5
27,MN,MajMin,8,13,0.03988512027787888,R+0,73.6932924315132,35.6250595285275,19.03411645149285,6
27,MN,Proportional,8,13,-0.09197920584822675,D+1,72.40260912463549,35.6250595285275,18.388774798053994,4
27,MN,algorithmic-compact,8,39,-0.0261955710523838,D+0,82.66860159368669,35.6250595285275,23.521771032579593,8
27,MN,current,8,12,-0.026625342784083517,D+0,76.41030995764424,35.6250595285275,20.39262521455837,7
29,MO,Compact,8,6,0.001222665930448709,R+0,60.02238825142097,24.7132958732237,17.654546189098635,3
